interaction_id,user_id,event_id,event_title,category,action,interaction_date,district,source
I001,U015,7,أمسية في المعرض,ثقافة,share,2023-08-06,المنطقة المركزية,recommendations
I002,U011,6,معرض مصممات المدينة,فن,plan_add,2023-08-06,حي الهجرة,home
I003,U010,2,تشكيل وإلهام,فن,share,2023-08-07,حي العريض,shared_link
I004,U008,5,مغامرة جبال المدينة,رياضة,view,2023-08-07,منطقة أحد,search
I005,U012,1,معرض المدينة المنورة للكتاب,ثقافة,view,2023-08-07,حي الخالدية,home
I006,U002,3,مهرجان الصقور,تراث,share,2023-08-08,حي العزيزية,search
I007,U015,3,مهرجان الصقور,تراث,favorite_add,2023-08-08,حي العزيزية,shared_link
I008,U003,6,معرض مصممات المدينة,فن,plan_add,2023-08-08,حي الهجرة,home
I009,U001,9,تجربة القهوة المختصة,طعام وقهوة,favorite_add,2023-08-08,حي العريض,home
I010,U004,4,ليالي المدينة,عائلي,share,2023-08-09,حي العزيزية,shared_link
I011,U005,2,تشكيل وإلهام,فن,view,2023-08-09,حي العريض,recommendations
I012,U007,9,تجربة القهوة المختصة,طعام وقهوة,share,2023-08-10,حي العريض,shared_link
I013,U007,3,مهرجان الصقور,تراث,plan_add,2023-08-10,حي العزيزية,interest_filter
I014,U004,5,مغامرة جبال المدينة,رياضة,share,2023-08-10,منطقة أحد,shared_link
I015,U016,1,معرض المدينة المنورة للكتاب,ثقافة,view,2023-08-11,حي الخالدية,search
I016,U017,5,مغامرة جبال المدينة,رياضة,view,2023-08-11,منطقة أحد,recommendations
I017,U011,6,معرض مصممات المدينة,فن,view,2023-08-11,حي الهجرة,interest_filter
I018,U015,3,مهرجان الصقور,تراث,view,2023-08-11,حي العزيزية,home
I019,U008,6,معرض مصممات المدينة,فن,plan_add,2023-08-12,حي الهجرة,search
I020,U004,6,معرض مصممات المدينة,فن,plan_add,2023-08-12,حي الهجرة,home
I021,U001,5,مغامرة جبال المدينة,رياضة,view,2023-08-13,منطقة أحد,interest_filter
I022,U007,3,مهرجان الصقور,تراث,share,2023-08-13,حي العزيزية,search
I023,U017,5,مغامرة جبال المدينة,رياضة,favorite_add,2023-08-13,منطقة أحد,home
I024,U016,7,أمسية في المعرض,ثقافة,share,2023-08-14,المنطقة المركزية,recommendations
I025,U011,2,تشكيل وإلهام,فن,share,2023-08-14,حي العريض,interest_filter
I026,U016,2,تشكيل وإلهام,فن,view,2023-08-14,حي العريض,recommendations
I027,U013,9,تجربة القهوة المختصة,طعام وقهوة,view,2023-08-14,حي العريض,search
I028,U007,1,معرض المدينة المنورة للكتاب,ثقافة,favorite_add,2023-08-15,حي الخالدية,interest_filter
I029,U004,1,معرض المدينة المنورة للكتاب,ثقافة,view,2023-08-15,حي الخالدية,home
I030,U009,5,مغامرة جبال المدينة,رياضة,view,2023-08-16,منطقة أحد,search
I031,U002,1,معرض المدينة المنورة للكتاب,ثقافة,view,2023-08-16,حي الخالدية,recommendations
I032,U001,6,معرض مصممات المدينة,فن,favorite_add,2023-08-16,حي الهجرة,shared_link
I033,U009,6,معرض مصممات المدينة,فن,share,2023-08-17,حي الهجرة,home
I034,U017,6,معرض مصممات المدينة,فن,plan_add,2023-08-17,حي الهجرة,home
I035,U002,5,مغامرة جبال المدينة,رياضة,view,2023-08-17,منطقة أحد,search
I036,U010,4,ليالي المدينة,عائلي,view,2023-08-17,حي العزيزية,search
I037,U003,3,مهرجان الصقور,تراث,plan_add,2023-08-18,حي العزيزية,home
I038,U008,4,ليالي المدينة,عائلي,view,2023-08-18,حي العزيزية,home
I039,U008,5,مغامرة جبال المدينة,رياضة,plan_add,2023-08-19,منطقة أحد,home
I040,U011,3,مهرجان الصقور,تراث,share,2023-08-19,حي العزيزية,recommendations
I041,U009,7,أمسية في المعرض,ثقافة,share,2023-08-19,المنطقة المركزية,recommendations
I042,U007,2,تشكيل وإلهام,فن,plan_add,2023-08-20,حي العريض,home
I043,U003,7,أمسية في المعرض,ثقافة,view,2023-08-20,المنطقة المركزية,home
I044,U014,9,تجربة القهوة المختصة,طعام وقهوة,view,2023-08-20,حي العريض,shared_link
I045,U012,6,معرض مصممات المدينة,فن,share,2023-08-20,حي الهجرة,search
I046,U004,4,ليالي المدينة,عائلي,share,2023-08-21,حي العزيزية,home
I047,U013,7,أمسية في المعرض,ثقافة,view,2023-08-21,المنطقة المركزية,recommendations
I048,U007,3,مهرجان الصقور,تراث,view,2023-08-22,حي العزيزية,home
I049,U001,9,تجربة القهوة المختصة,طعام وقهوة,view,2023-08-22,حي العريض,interest_filter
I050,U016,6,معرض مصممات المدينة,فن,share,2023-08-22,حي الهجرة,recommendations
I051,U018,1,معرض المدينة المنورة للكتاب,ثقافة,plan_add,2023-08-23,حي الخالدية,search
I052,U016,7,أمسية في المعرض,ثقافة,favorite_add,2023-08-23,المنطقة المركزية,recommendations
I053,U005,5,مغامرة جبال المدينة,رياضة,view,2023-08-23,منطقة أحد,home
I054,U017,5,مغامرة جبال المدينة,رياضة,view,2023-08-23,منطقة أحد,search
I055,U015,9,تجربة القهوة المختصة,طعام وقهوة,view,2023-08-24,حي العريض,interest_filter
I056,U014,2,تشكيل وإلهام,فن,plan_add,2023-08-24,حي العريض,interest_filter
I057,U010,1,معرض المدينة المنورة للكتاب,ثقافة,view,2023-08-25,حي الخالدية,home
I058,U018,2,تشكيل وإلهام,فن,share,2023-08-25,حي العريض,search
I059,U004,2,تشكيل وإلهام,فن,view,2023-08-25,حي العريض,interest_filter
I060,U013,6,معرض مصممات المدينة,فن,plan_add,2023-08-26,حي الهجرة,search
I061,U011,6,معرض مصممات المدينة,فن,view,2023-08-26,حي الهجرة,interest_filter
I062,U013,2,تشكيل وإلهام,فن,share,2023-08-26,حي العريض,home
I063,U005,1,معرض المدينة المنورة للكتاب,ثقافة,favorite_add,2023-08-26,حي الخالدية,recommendations
I064,U003,5,مغامرة جبال المدينة,رياضة,favorite_add,2023-08-27,منطقة أحد,home
I065,U004,2,تشكيل وإلهام,فن,favorite_add,2023-08-27,حي العريض,home
I066,U018,3,مهرجان الصقور,تراث,share,2023-08-28,حي العزيزية,shared_link
I067,U013,4,ليالي المدينة,عائلي,view,2023-08-28,حي العزيزية,shared_link
